,taz,TAZ_X,TAZ_Y
348,312,-122.3721172,37.73482726
35,32,-122.413699,37.78521941
3610,301075,-122.2652951,37.8573778
621,551,-122.4067969,37.79645398
31,28,-122.4088312,37.7980664
379,337,-122.4161659,37.78491162
39,36,-122.4125041,37.78346821
38,35,-122.4126867,37.78439756
376,334,-122.4138184,37.78999653
36,33,-122.4139833,37.78662194
32,29,-122.4140081,37.79093989
3617,301082,-122.2725319,37.84758821
3606,301071,-122.2665184,37.86500717
688,608,-122.4077218,37.76252188
3620,301086,-122.2687075,37.84074709
3607,301072,-122.2643286,37.86529846
3611,301076,-122.2690751,37.85688936
3604,301069,-122.2711147,37.86441692
3612,301077,-122.2651733,37.85622044
3605,301070,-122.2687605,37.86472365
398,354,-122.4067088,37.80027265
3619,301085,-122.273506,37.84136031
377,335,-122.409709,37.79051928
382,340,-122.4149685,37.78315625
381,339,-122.4166094,37.78294585
33,30,-122.409902,37.79146101
455,398,-122.4123832,37.79394367
466,408,-122.4247081,37.77272246
401,357,-122.4105703,37.79853139
403,359,-122.4114035,37.80025965
456,399,-122.4100877,37.79565635
3616,301081,-122.270511,37.84772908
396,352,-122.4124855,37.80280179
457,400,-122.4086218,37.7937522
25,22,-122.4192817,37.74938128
741,651,-122.3990938,37.77507049
453,396,-122.4139358,37.7930008
26,23,-122.4170794,37.74946655
402,358,-122.4089465,37.79710928
100,95,-122.4148859,37.74955839
620,550,-122.406523,37.79513833
3614,301079,-122.2726171,37.85319112
462,405,-122.4061645,37.79335057
409,363,-122.409422,37.78439575
264,243,-122.4626151,37.76515451
3627,301091,-122.2502437,37.83932193
99,94,-122.406349,37.7630657
433,382,-122.4300334,37.77028676
669,594,-122.4057834,37.7915041
3628,301092,-122.265095,37.80107516
391,346,-122.4042205,37.80010781
436,385,-122.4146169,37.79618316
313,285,-122.4254434,37.77657014
584,514,-122.4305891,37.78117171
587,517,-122.4300257,37.7783748
378,336,-122.4164466,37.78631033
589,519,-122.4277199,37.77532234
588,518,-122.4281008,37.77718612
459,402,-122.4102401,37.78901653
487,425,-122.4135346,37.78859679
37,34,-122.4111524,37.78722265
438,387,-122.4190467,37.7991997
442,390,-122.4200393,37.79570891
451,395,-122.4187974,37.78936301
689,609,-122.4072361,37.75760842
3402,300878,-122.2600662,37.8672349
485,424,-122.4184248,37.78749564
406,361,-122.4192115,37.78309405
483,423,-122.4186288,37.7884288
3552,301023,-122.2278462,37.78325407
918,100168,-122.4611088,37.69553034
694,614,-122.3853113,37.75359107
3621,301087,-122.2682123,37.8387215
206,192,-122.4040964,37.71979494
623,554,-122.4375741,37.77034764
3615,301080,-122.2632331,37.85417301
2450,300007,-122.250383,37.86713381
3951,400237,-122.0411701,37.9698405
213,199,-122.4396917,37.72127066
29,26,-122.4220918,37.74900898
399,355,-122.4085384,37.8000911
3640,301104,-122.0723968,37.68853443
162,150,-122.4197402,37.74093777
23,20,-122.4194541,37.76263337
11,8,-122.4372195,37.76157226
24,21,-122.4193015,37.76103439
18,15,-122.423247,37.75596906
50,46,-122.4229508,37.75277159
51,47,-122.4231027,37.75436884
1504,200239,-121.8766912,37.24942047
598,528,-122.4468732,37.7695337
3657,301118,-122.0543859,37.55155914
3643,301107,-121.7655604,37.69040584
55,51,-122.4274498,37.75250247
360,321,-122.4189557,37.71280849
97,92,-122.4099757,37.75676886
61,57,-122.4272964,37.75090442
45,41,-122.4098238,37.75516959
435,384,-122.413662,37.79504909
2507,300057,-122.2651818,37.85370121
361,322,-122.4189132,37.71147523
545,482,-122.4547806,37.77971271
79,73,-122.4808291,37.7183013
710,630,-122.4001016,37.71494511
624,555,-122.4341383,37.76991175
1287,200051,-121.8456208,37.32999338
102,97,-122.4102214,37.7497457
400,356,-122.4042286,37.79820143
489,427,-122.4449968,37.80043131
470,413,-122.4504727,37.76285241
3296,300773,-122.269109,37.8555875
454,397,-122.4121174,37.79232238
234,219,-122.460694,37.7842965
418,370,-122.4307921,37.80140927
3260,300740,-122.2588772,37.814361
3313,300789,-122.2526572,37.80106755
3618,301084,-122.2691707,37.84295587
34,31,-122.4101533,37.78606095
465,407,-122.4278574,37.77348809
432,381,-122.4306683,37.7723659
3487,300957,-122.2314482,37.7857599
531,468,-122.4336864,37.78728428
1,1,-122.4240413,37.77027756
430,379,-122.4390666,37.7787558
692,612,-122.3875672,37.75839307
2492,300043,-122.2680181,37.86665421
725,641,-122.4653398,37.74176677
408,362,-122.412111,37.78201616
345,309,-122.4073628,37.74993127
161,149,-122.4223268,37.74208298
3263,300743,-122.2594523,37.81203651
481,421,-122.4452139,37.75743565
232,217,-122.4635619,37.78582818
5047,700197,-122.70057,38.32883916
144,135,-122.45434,37.71692808
461,404,-122.4020966,37.7899463
530,467,-122.4230445,37.78604558
123,115,-122.4131463,37.73696389
75,70,-122.4290478,37.73645613
3268,300748,-122.2532097,37.82666836
3609,301074,-122.2657905,37.8590462
546,483,-122.4565014,37.77575488
40,37,-122.408017,37.78181816
423,373,-122.4244764,37.79239726
3608,301073,-122.2660598,37.86227465
3117,300609,-122.2765431,37.8527044
253,235,-122.4403679,37.71208763
4340,400573,-122.0930248,37.9227898
720,636,-122.4441453,37.71745059
2,2,-122.4199518,37.76451937
958,100203,-122.4501379,37.70644288
3547,301018,-122.2303334,37.78415685
101,96,-122.4105137,37.75271649
370,330,-122.4137115,37.70946466
66,62,-122.4241861,37.74708782
247,230,-122.4048062,37.71808693
1917,200603,-121.9395363,37.32527657
3292,300769,-122.2741707,37.85142881
536,473,-122.4446041,37.78413192
344,308,-122.4077288,37.75288469
421,372,-122.4250098,37.79509615
600,530,-122.4520499,37.76987836
721,637,-122.4384327,37.72093463
463,406,-122.4225197,37.77405004
443,391,-122.4192665,37.79457487
631,559,-122.4431403,37.76298229
160,148,-122.418252,37.7439272
3596,301061,-122.2812009,37.88066997
445,392,-122.4201589,37.79325279
6,5,-122.4275912,37.76654481
498,436,-122.4255826,37.79787188
504,442,-122.4503236,37.78728528
528,466,-122.4237409,37.78874357
122,114,-122.4152805,37.7367292
3182,300670,-122.281949,37.81015052
3673,301132,-121.9374473,37.53194885
416,368,-122.4274389,37.8028932
324,292,-122.4219904,37.77605197
415,367,-122.4270594,37.80102799
197,183,-122.4363669,37.72516072
2723,300239,-122.2739104,37.80744042
447,393,-122.4198731,37.79176008
2818,300334,-122.2561319,37.86444477
468,411,-122.445746,37.76831282
411,365,-122.437106,37.80652493
434,383,-122.4269492,37.77112952
65,61,-122.4263284,37.7427791
260,241,-122.4628604,37.76232313
426,375,-122.4282594,37.79468496
394,350,-122.4096738,37.80276704
98,93,-122.4127827,37.75044748
719,635,-122.4646039,37.71320103
3874,400170,-121.8219539,38.00259954
3266,300746,-122.2544186,37.80909275
599,529,-122.4479717,37.77083515
417,369,-122.4290193,37.79951224
3613,301078,-122.2729938,37.85552818
22,19,-122.4194741,37.7590197
541,478,-122.4405351,37.78421804
602,532,-122.433827,37.77215308
516,455,-122.4608017,37.72337418
3671,301130,-121.9564844,37.53411676
437,386,-122.4145714,37.79785181
495,434,-122.432109,37.79704192
429,378,-122.4353342,37.77961138
496,435,-122.42882,37.7974602
494,433,-122.4353981,37.79662291
439,388,-122.4195052,37.79721658
595,525,-122.4461407,37.77440481
596,526,-122.442852,37.77482437
594,524,-122.4494251,37.7739838
3107,300598,-121.9254831,37.48660864
593,523,-122.4527208,37.77357156
460,403,-122.4026749,37.79237419
380,338,-122.4196443,37.7854122
2547,300094,-122.2673747,37.85011994
431,380,-122.4380313,37.77751385
533,470,-122.4269759,37.78833237
488,426,-122.4440481,37.80173643
639,563,-122.4209267,37.76776816
601,531,-122.438054,37.77209616
597,527,-122.4430407,37.77146205
577,508,-122.4507637,37.78138338
2543,300089,-122.2528439,37.79782179
5499,800206,-122.5252566,37.92435276
2619,300155,-122.2442564,37.79464425
449,394,-122.4185102,37.7906755
167,155,-122.4230699,37.73638024
3264,300744,-122.2580095,37.81052694
3715,400033,-122.0438629,37.95552708
2553,300100,-122.2512816,37.79495959
7,6,-122.4292154,37.76366036
3295,300772,-122.2365061,37.7963898
292,270,-122.4553082,37.76509105
3130,300622,-122.2439761,37.79882095
3528,301000,-122.2406571,37.79587576
3623,301089,-122.2528995,37.84242015
3129,300621,-122.2423227,37.79734263
440,389,-122.4225383,37.79807858
3656,301117,-122.0208549,37.58195943
581,512,-122.4326339,37.7829211
427,376,-122.4359176,37.78250286
615,545,-122.4960539,37.78056577
3037,300535,-122.2525808,37.86362857
2552,300099,-122.2494375,37.79628008
693,613,-122.3894076,37.75414214
3598,301063,-122.2892474,37.87670418
248,231,-122.4367106,37.71520871
383,341,-122.4153608,37.78008211
262,242,-122.4594191,37.76460906
9,7,-122.4312908,37.76470502
2630,300166,-122.2731952,37.84023034
359,320,-122.4166906,37.70981511
312,284,-122.4731807,37.7459685
332,299,-122.4730442,37.74410294
2449,300006,-122.2528516,37.86780561
105,100,-122.3995651,37.73469108
469,412,-122.450034,37.76518797
3563,301033,-122.22809,37.79048029
2134,200813,-121.8824878,37.32809257
4306,400544,-122.3063218,37.90253701
646,569,-122.4188056,37.767488
525,464,-122.432868,37.79184822
2473,300025,-122.285651,37.80333573
203,189,-122.4035256,37.72317246
12,9,-122.4366809,37.75944381
173,161,-122.43442,37.72777072
57,53,-122.4360194,37.75439987
95,90,-122.4144706,37.75274569
28,25,-122.4174289,37.75310416
633,560,-122.4372926,37.7674125
56,52,-122.4395772,37.75379877
53,49,-122.4319865,37.7526304
27,24,-122.4196278,37.7529688
68,64,-122.4289235,37.74396485
67,63,-122.4291502,37.74636517
52,48,-122.4322159,37.75502482
249,232,-122.4011822,37.71675586
13,10,-122.4372448,37.75721193
49,45,-122.4231169,37.75061298
14,11,-122.432873,37.75806626
237,222,-122.4694017,37.78178816
15,12,-122.4289814,37.75722559
501,439,-122.4366527,37.79389146
2799,300315,-122.0689234,37.63778457
3261,300741,-122.2555527,37.81710836
2045,200724,-122.033293,37.34304713
5179,700306,-122.7439042,38.46072212
499,437,-122.4573018,37.78727657
236,221,-122.469542,37.78365049
474,416,-122.4003866,37.78140874
3564,301034,-122.2130574,37.78777196
473,415,-122.4019288,37.78264625
3082,300575,-122.2302326,37.77158554
658,581,-122.3936765,37.79265
64,60,-122.4244955,37.74509595
517,456,-122.4607252,37.72003051
133,125,-122.4088438,37.7435833
467,409,-122.4458189,37.76589776
2505,300055,-122.2771848,37.85472098
5389,800109,-122.5035931,37.96472462
250,233,-122.4356566,37.71226323
532,469,-122.4306506,37.78800332
3548,301019,-122.2329093,37.78288308
643,566,-122.4098566,37.78011873
3265,300745,-122.2501307,37.80988813
2069,200750,-121.8697425,37.38022017
269,248,-122.4622975,37.77556582
2714,300230,-122.1408797,37.68256053
535,472,-122.4375217,37.78726834
543,480,-122.4281705,37.78587919
542,479,-122.4347515,37.7850396
610,540,-122.47535,37.78152015
3377,300851,-122.1807323,37.75891052
3378,300852,-122.2418254,37.81374223
3629,301093,-122.2892955,37.80503896
3023,300518,-122.2585502,37.76974305
612,542,-122.4754796,37.78337935
611,541,-122.4756063,37.78524405
2963,300459,-122.0718621,37.63631198
506,444,-122.4489417,37.78883716
2550,300097,-122.2555434,37.79908116
2944,300442,-122.2949686,37.80690671
2234,200905,-121.906561,37.35009842
2912,300418,-122.1938037,37.77062231
