MAZ,TAZ,COUNTY,county_name,COUNTYFP10,TRACTCE10,PUMA10,DistID,DistName,MAZ_X,MAZ_Y
10001,56,1,San Francisco,075,021300,07504,3,Mission District,-122.44107509527181,37.75006645242311
10002,56,1,San Francisco,075,021300,07504,3,Mission District,-122.43893303771237,37.75019580711369
10003,10,1,San Francisco,075,020500,07504,3,Mission District,-122.4362701327225,37.75679372444318
10004,53,1,San Francisco,075,021200,07504,3,Mission District,-122.4370498299397,37.75352911966474
10005,48,1,San Francisco,075,021100,07504,3,Mission District,-122.4334002333296,37.755757970766794
10006,48,1,San Francisco,075,021100,07504,3,Mission District,-122.43332373317557,37.75495847112766
10007,65,1,San Francisco,075,021600,07504,3,Mission District,-122.4326244804779,37.74576893950219
10009,65,1,San Francisco,075,021600,07504,3,Mission District,-122.43447954092572,37.74363258616407
10012,40,1,San Francisco,075,021700,07506,3,Mission District,-122.43184431313964,37.738360385067914
10017,583,1,San Francisco,075,980900,07507,3,Mission District,-122.39224252919078,37.75136160578553
10018,574,1,San Francisco,075,061400,07503,3,Mission District,-122.39205463766902,37.75376579328091
10021,618,1,San Francisco,075,980900,07507,3,Mission District,-122.38993604261002,37.739987464423166
10022,116,1,San Francisco,075,023200,07507,3,Mission District,-122.39067464908588,37.732440557096645
10023,125,1,San Francisco,075,025100,07504,3,Mission District,-122.41008182615852,37.74157381966439
10024,622,1,San Francisco,075,023102,07507,3,Mission District,-122.38726399504922,37.73331810681427
10025,623,1,San Francisco,075,023102,07507,3,Mission District,-122.38524433872865,37.73429269701651
10030,250,1,San Francisco,075,045100,07501,2,Richmond District,-122.45936690911518,37.78030658420272
10038,363,1,San Francisco,075,012501,07503,1,Downtown SF,-122.41002637348191,37.783778219961604
10039,330,1,San Francisco,075,026404,07507,3,Mission District,-122.41211257330868,37.71003056184302
10044,635,1,San Francisco,075,031302,07506,4,Sunset District,-122.46663685096848,37.71338347253655
10045,635,1,San Francisco,075,031302,07506,4,Sunset District,-122.46573875451521,37.71339356418521
10047,199,1,San Francisco,075,026100,07506,3,Mission District,-122.4385659960358,37.72275372086627
10048,636,1,San Francisco,075,026100,07506,3,Mission District,-122.44357160925549,37.71793575890502
10049,100,1,San Francisco,075,023001,07507,3,Mission District,-122.40048665274321,37.73431809522643
10052,453,1,San Francisco,075,031201,07506,3,Mission District,-122.45053651624481,37.722711249503
10053,553,1,San Francisco,075,061200,07507,3,Mission District,-122.39581641986211,37.73723492093728
10054,553,1,San Francisco,075,061200,07507,3,Mission District,-122.39286933032008,37.736506802728485
10055,39,1,San Francisco,075,061500,07503,1,Downtown SF,-122.39237607874165,37.78034994776154
10056,288,1,San Francisco,075,060700,07503,3,Mission District,-122.38746513739405,37.768538932509045
10060,84,1,San Francisco,075,022600,07503,3,Mission District,-122.39216603810131,37.76348741421042
10062,117,1,San Francisco,075,023200,07507,3,Mission District,-122.39181998244594,37.72836188843188
10063,188,1,San Francisco,075,025800,07507,3,Mission District,-122.40099230826517,37.72270329232834
10064,294,1,San Francisco,075,061000,07507,3,Mission District,-122.39350212500013,37.71003368004026
10065,294,1,San Francisco,075,061000,07507,3,Mission District,-122.39650689195494,37.71926638524868
10071,438,1,San Francisco,075,013200,07502,2,Richmond District,-122.44050415259039,37.79263979612611
10072,438,1,San Francisco,075,013200,07502,2,Richmond District,-122.43931814095677,37.79516972252618
10073,461,1,San Francisco,075,013400,07502,2,Richmond District,-122.44338642797406,37.78999679176249
10074,471,1,San Francisco,075,015300,07501,2,Richmond District,-122.44283472267371,37.78727345500123
10075,471,1,San Francisco,075,015300,07501,2,Richmond District,-122.44101077324595,37.78653736041493
10076,471,1,San Francisco,075,015300,07501,2,Richmond District,-122.4391563216623,37.7858170911636
10077,434,1,San Francisco,075,013000,07502,2,Richmond District,-122.43274291879796,37.79600526627919
10078,478,1,San Francisco,075,015500,07501,2,Richmond District,-122.43883047301559,37.78397944599478
10079,398,1,San Francisco,075,011200,07502,1,Downtown SF,-122.41045358318519,37.794188887499864
10084,366,1,San Francisco,075,012602,07502,2,Richmond District,-122.42895356082197,37.80594178945578
10086,404,1,San Francisco,075,011700,07503,1,Downtown SF,-122.4000710430723,37.7908573654947
10087,401,1,San Francisco,075,010500,07502,1,Downtown SF,-122.39923361603465,37.79559614043054
10094,420,1,San Francisco,075,020401,07505,3,Mission District,-122.44388388967579,37.759375949005054
10098,490,1,San Francisco,075,032601,07505,4,Sunset District,-122.47758565334912,37.76260566627978
10099,489,1,San Francisco,075,032601,07505,4,Sunset District,-122.4820134851626,37.76431207033378
10101,281,1,San Francisco,075,030302,07505,4,Sunset District,-122.47574885495986,37.751466963388786
10102,491,1,San Francisco,075,032601,07505,4,Sunset District,-122.47743271621782,37.760731748861396
10104,6,1,San Francisco,075,020300,07504,3,Mission District,-122.43191227402136,37.76349623165243
10107,563,1,San Francisco,075,020100,07504,3,Mission District,-122.42157357566367,37.76904078785926
10109,570,1,San Francisco,075,020200,07504,3,Mission District,-122.4233376680229,37.763605702777745
10110,20,1,San Francisco,075,020800,07503,3,Mission District,-122.42072495515067,37.76264071139941
10111,21,1,San Francisco,075,020800,07503,3,Mission District,-122.42039396628756,37.76096827065557
10112,18,1,San Francisco,075,020800,07503,3,Mission District,-122.42048790559136,37.756133012582914
10114,52,1,San Francisco,075,021200,07504,3,Mission District,-122.43978365928409,37.75468967073554
10116,52,1,San Francisco,075,021200,07504,3,Mission District,-122.44146857292145,37.7530644803423
10117,535,1,San Francisco,075,033204,07506,4,Sunset District,-122.48408046379184,37.72103694174293
10119,454,1,San Francisco,075,031201,07506,3,Mission District,-122.45564802045472,37.72282733326039
10122,42,1,San Francisco,075,023001,07507,3,Mission District,-122.4011979944195,37.732971776755164
10123,619,1,San Francisco,075,980900,07507,3,Mission District,-122.39529674856854,37.74335599290713
10124,98,1,San Francisco,075,023001,07507,3,Mission District,-122.39902795276387,37.739059267402055
10125,98,1,San Francisco,075,023001,07507,3,Mission District,-122.39716240208755,37.73800088699291
