,county,grouping,universe,share,dataset
1,Alameda,"Total: Car, truck, or van:",527734,35.08503434149494,2023 ACS 1 Year
2,Alameda,"Total: Car, truck, or van: Drove alone",452339,30.07259215627092,2023 ACS 1 Year
3,Alameda,"Total: Car, truck, or van: Carpooled:",75395,5.012442185224016,2023 ACS 1 Year
4,Alameda,"Total: Car, truck, or van: Carpooled: In 2-person carpool",56385,3.748611348416422,2023 ACS 1 Year
5,Alameda,"Total: Car, truck, or van: Carpooled: In 3-person carpool",13838,0.9199837516961329,2023 ACS 1 Year
6,Alameda,"Total: Car, truck, or van: Carpooled: In 4-or-more-person carpool",5172,0.3438470851114611,2023 ACS 1 Year
7,Alameda,Total: Public transportation (excluding taxicab):,74554,4.95653046856146,2023 ACS 1 Year
8,Alameda,Total: Public transportation (excluding taxicab): Bus,25253,1.6788805955761266,2023 ACS 1 Year
9,Alameda,Total: Public transportation (excluding taxicab): Subway or elevated rail,35648,2.3699653693065286,2023 ACS 1 Year
10,Alameda,Total: Public transportation (excluding taxicab): Long-distance train or commuter rail,8638,0.5742751587766437,2023 ACS 1 Year
11,Alameda,"Total: Public transportation (excluding taxicab): Light rail, streetcar or trolley (carro público in Puerto Rico)",1288,0.08562935916928885,2023 ACS 1 Year
12,Alameda,Total: Public transportation (excluding taxicab): Ferryboat,3727,0.2477799857328723,2023 ACS 1 Year
13,Alameda,Total: Bicycle,14465,0.9616682301116173,2023 ACS 1 Year
14,Alameda,Total: Walked,26933,1.7905710640578079,2023 ACS 1 Year
15,Alameda,"Total: Taxicab, motorcycle, or other means",14506,0.964394009401944,2023 ACS 1 Year
16,Alameda,Total: Worked from home,168282,11.187794891091821,2023 ACS 1 Year
18,Contra Costa,"Total: Car, truck, or van:",401743,37.97074382368036,2023 ACS 1 Year
19,Contra Costa,"Total: Car, truck, or van: Drove alone",341396,32.26704649098846,2023 ACS 1 Year
20,Contra Costa,"Total: Car, truck, or van: Carpooled:",60347,5.703697332691891,2023 ACS 1 Year
21,Contra Costa,"Total: Car, truck, or van: Carpooled: In 2-person carpool",43121,4.075581763517773,2023 ACS 1 Year
22,Contra Costa,"Total: Car, truck, or van: Carpooled: In 3-person carpool",11522,1.0890019498446646,2023 ACS 1 Year
23,Contra Costa,"Total: Car, truck, or van: Carpooled: In 4-or-more-person carpool",5704,0.5391136193294538,2023 ACS 1 Year
24,Contra Costa,Total: Public transportation (excluding taxicab):,35857,3.3890247279621715,2023 ACS 1 Year
25,Contra Costa,Total: Public transportation (excluding taxicab): Bus,7968,0.753095602878171,2023 ACS 1 Year
26,Contra Costa,Total: Public transportation (excluding taxicab): Subway or elevated rail,19058,1.801267068229441,2023 ACS 1 Year
27,Contra Costa,Total: Public transportation (excluding taxicab): Long-distance train or commuter rail,7052,0.6665198533505099,2023 ACS 1 Year
28,Contra Costa,"Total: Public transportation (excluding taxicab): Light rail, streetcar or trolley (carro público in Puerto Rico)",929,0.08780444466287914,2023 ACS 1 Year
29,Contra Costa,Total: Public transportation (excluding taxicab): Ferryboat,850,0.08033775884117035,2023 ACS 1 Year
30,Contra Costa,Total: Bicycle,2297,0.21710097889196273,2023 ACS 1 Year
31,Contra Costa,Total: Walked,10578,0.9997797800257647,2023 ACS 1 Year
32,Contra Costa,"Total: Taxicab, motorcycle, or other means",10240,0.9678337065100995,2023 ACS 1 Year
33,Contra Costa,Total: Worked from home,99371,9.392051098595223,2023 ACS 1 Year
35,Marin,"Total: Car, truck, or van:",75757,35.9873640207116,2023 ACS 1 Year
36,Marin,"Total: Car, truck, or van: Drove alone",67085,31.867844757968744,2023 ACS 1 Year
37,Marin,"Total: Car, truck, or van: Carpooled:",8672,4.1195192627428625,2023 ACS 1 Year
38,Marin,"Total: Car, truck, or van: Carpooled: In 2-person carpool",7098,3.3718113153769416,2023 ACS 1 Year
39,Marin,"Total: Car, truck, or van: Carpooled: In 3-person carpool",1431,0.6797776827704147,2023 ACS 1 Year
40,Marin,"Total: Car, truck, or van: Carpooled: In 4-or-more-person carpool",143,0.06793026459550615,2023 ACS 1 Year
41,Marin,Total: Public transportation (excluding taxicab):,4750,2.256424872927652,2023 ACS 1 Year
42,Marin,Total: Public transportation (excluding taxicab): Bus,2332,1.1077858534036387,2023 ACS 1 Year
43,Marin,Total: Public transportation (excluding taxicab): Subway or elevated rail,49,0.023276803952306305,2023 ACS 1 Year
44,Marin,Total: Public transportation (excluding taxicab): Long-distance train or commuter rail,105,0.04987886561208494,2023 ACS 1 Year
45,Marin,"Total: Public transportation (excluding taxicab): Light rail, streetcar or trolley (carro público in Puerto Rico)",0,0.0,2023 ACS 1 Year
46,Marin,Total: Public transportation (excluding taxicab): Ferryboat,2264,1.075483349959622,2023 ACS 1 Year
47,Marin,Total: Bicycle,1831,0.8697924089116906,2023 ACS 1 Year
48,Marin,Total: Walked,5084,2.4150871692556173,2023 ACS 1 Year
49,Marin,"Total: Taxicab, motorcycle, or other means",2034,0.9662248824283882,2023 ACS 1 Year
50,Marin,Total: Worked from home,31875,15.141798489382927,2023 ACS 1 Year
52,Napa,"Total: Car, truck, or van:",53504,41.64707713863159,2023 ACS 1 Year
53,Napa,"Total: Car, truck, or van: Drove alone",47032,36.60932513427259,2023 ACS 1 Year
54,Napa,"Total: Car, truck, or van: Carpooled:",6472,5.037752004358994,2023 ACS 1 Year
55,Napa,"Total: Car, truck, or van: Carpooled: In 2-person carpool",2615,2.0354946680158794,2023 ACS 1 Year
56,Napa,"Total: Car, truck, or van: Carpooled: In 3-person carpool",982,0.7643807892893283,2023 ACS 1 Year
57,Napa,"Total: Car, truck, or van: Carpooled: In 4-or-more-person carpool",2875,2.2378765470537867,2023 ACS 1 Year
58,Napa,Total: Public transportation (excluding taxicab):,576,0.44835370125321083,2023 ACS 1 Year
59,Napa,Total: Public transportation (excluding taxicab): Bus,236,0.18370047481902388,2023 ACS 1 Year
60,Napa,Total: Public transportation (excluding taxicab): Subway or elevated rail,0,0.0,2023 ACS 1 Year
61,Napa,Total: Public transportation (excluding taxicab): Long-distance train or commuter rail,0,0.0,2023 ACS 1 Year
62,Napa,"Total: Public transportation (excluding taxicab): Light rail, streetcar or trolley (carro público in Puerto Rico)",0,0.0,2023 ACS 1 Year
63,Napa,Total: Public transportation (excluding taxicab): Ferryboat,340,0.264653226434187,2023 ACS 1 Year
64,Napa,Total: Bicycle,462,0.3596170312135129,2023 ACS 1 Year
65,Napa,Total: Walked,3707,2.8854985599750913,2023 ACS 1 Year
66,Napa,"Total: Taxicab, motorcycle, or other means",909,0.7075581847902234,2023 ACS 1 Year
67,Napa,Total: Worked from home,8760,6.818712539892583,2023 ACS 1 Year
69,San Francisco,"Total: Car, truck, or van:",169270,22.175612721336904,2023 ACS 1 Year
70,San Francisco,"Total: Car, truck, or van: Drove alone",136951,17.941586446504463,2023 ACS 1 Year
71,San Francisco,"Total: Car, truck, or van: Carpooled:",32319,4.234026274832441,2023 ACS 1 Year
72,San Francisco,"Total: Car, truck, or van: Carpooled: In 2-person carpool",25356,3.321822154913561,2023 ACS 1 Year
73,San Francisco,"Total: Car, truck, or van: Carpooled: In 3-person carpool",4018,0.5263874987554302,2023 ACS 1 Year
74,San Francisco,"Total: Car, truck, or van: Carpooled: In 4-or-more-person carpool",2945,0.38581662116345,2023 ACS 1 Year
75,San Francisco,Total: Public transportation (excluding taxicab):,101330,13.27497392953901,2023 ACS 1 Year
76,San Francisco,Total: Public transportation (excluding taxicab): Bus,64337,8.428619339827804,2023 ACS 1 Year
77,San Francisco,Total: Public transportation (excluding taxicab): Subway or elevated rail,24141,3.1626482348070786,2023 ACS 1 Year
78,San Francisco,Total: Public transportation (excluding taxicab): Long-distance train or commuter rail,5353,0.7012822998600842,2023 ACS 1 Year
79,San Francisco,"Total: Public transportation (excluding taxicab): Light rail, streetcar or trolley (carro público in Puerto Rico)",7398,0.9691923135372507,2023 ACS 1 Year
80,San Francisco,Total: Public transportation (excluding taxicab): Ferryboat,101,0.01323174150679404,2023 ACS 1 Year
81,San Francisco,Total: Bicycle,16235,2.1269041917109033,2023 ACS 1 Year
82,San Francisco,Total: Walked,47388,6.208175906177782,2023 ACS 1 Year
83,San Francisco,"Total: Taxicab, motorcycle, or other means",13832,1.8120935497225266,2023 ACS 1 Year
84,San Francisco,Total: Worked from home,112342,14.717626775804515,2023 ACS 1 Year
86,San Mateo,"Total: Car, truck, or van:",266924,37.90893300706273,2023 ACS 1 Year
87,San Mateo,"Total: Car, truck, or van: Drove alone",228231,32.41369711653854,2023 ACS 1 Year
88,San Mateo,"Total: Car, truck, or van: Carpooled:",38693,5.495235890524187,2023 ACS 1 Year
89,San Mateo,"Total: Car, truck, or van: Carpooled: In 2-person carpool",27279,3.874203082149466,2023 ACS 1 Year
90,San Mateo,"Total: Car, truck, or van: Carpooled: In 3-person carpool",5910,0.8393467581474153,2023 ACS 1 Year
