,county,grouping,universe,share,dataset
1,Alameda,"Total: Car, truck, or van:",527734,39.50474408159446,2023 ACS 1 Year
2,Alameda,"Total: Car, truck, or van: Drove alone",452339,33.86087770188079,2023 ACS 1 Year
3,Alameda,"Total: Car, truck, or van: Carpooled:",75395,5.643866379713671,2023 ACS 1 Year
4,Alameda,"Total: Car, truck, or van: Carpooled: In 2-person carpool",56385,4.220829044633668,2023 ACS 1 Year
5,Alameda,"Total: Car, truck, or van: Carpooled: In 3-person carpool",13838,1.0358753625900627,2023 ACS 1 Year
6,Alameda,"Total: Car, truck, or van: Carpooled: In 4-or-more-person carpool",5172,0.38716197248994105,2023 ACS 1 Year
7,Alameda,Total: Public transportation (excluding taxicab):,74554,5.58091138766726,2023 ACS 1 Year
8,Alameda,Total: Public transportation (excluding taxicab): Bus,25253,1.890371479367456,2023 ACS 1 Year
9,Alameda,Total: Public transportation (excluding taxicab): Subway or elevated rail,35648,2.6685131468138863,2023 ACS 1 Year
10,Alameda,Total: Public transportation (excluding taxicab): Long-distance train or commuter rail,8638,0.6466173856086834,2023 ACS 1 Year
11,Alameda,"Total: Public transportation (excluding taxicab): Light rail, streetcar or trolley (carro público in Puerto Rico)",1288,0.09641620660615702,2023 ACS 1 Year
12,Alameda,Total: Public transportation (excluding taxicab): Ferryboat,3727,0.27899316927107704,2023 ACS 1 Year
13,Alameda,Total: Bicycle,14465,1.0828108917376251,2023 ACS 1 Year
14,Alameda,Total: Walked,26933,2.0161317488537476,2023 ACS 1 Year
15,Alameda,"Total: Taxicab, motorcycle, or other means",14506,1.0858800411715168,2023 ACS 1 Year
17,Contra Costa,"Total: Car, truck, or van:",401743,41.906636541346174,2023 ACS 1 Year
18,Contra Costa,"Total: Car, truck, or van: Drove alone",341396,35.61171716413084,2023 ACS 1 Year
19,Contra Costa,"Total: Car, truck, or van: Carpooled:",60347,6.294919377215328,2023 ACS 1 Year
20,Contra Costa,"Total: Car, truck, or van: Carpooled: In 2-person carpool",43121,4.498039976550651,2023 ACS 1 Year
21,Contra Costa,"Total: Car, truck, or van: Carpooled: In 3-person carpool",11522,1.2018834584034832,2023 ACS 1 Year
22,Contra Costa,"Total: Car, truck, or van: Carpooled: In 4-or-more-person carpool",5704,0.5949959422611932,2023 ACS 1 Year
23,Contra Costa,Total: Public transportation (excluding taxicab):,35857,3.7403172338112913,2023 ACS 1 Year
24,Contra Costa,Total: Public transportation (excluding taxicab): Bus,7968,0.8311584270577117,2023 ACS 1 Year
25,Contra Costa,Total: Public transportation (excluding taxicab): Subway or elevated rail,19058,1.9879790791749334,2023 ACS 1 Year
26,Contra Costa,Total: Public transportation (excluding taxicab): Long-distance train or commuter rail,7052,0.7356085878025832,2023 ACS 1 Year
27,Contra Costa,"Total: Public transportation (excluding taxicab): Light rail, streetcar or trolley (carro público in Puerto Rico)",929,0.09690589592577989,2023 ACS 1 Year
28,Contra Costa,Total: Public transportation (excluding taxicab): Ferryboat,850,0.088665243850283,2023 ACS 1 Year
29,Contra Costa,Total: Bicycle,2297,0.23960478249894124,2023 ACS 1 Year
30,Contra Costa,Total: Walked,10578,1.1034128817038749,2023 ACS 1 Year
31,Contra Costa,"Total: Taxicab, motorcycle, or other means",10240,1.0681554082669387,2023 ACS 1 Year
33,Marin,"Total: Car, truck, or van:",75757,42.40882245920452,2023 ACS 1 Year
