,county,grouping,universe,share,dataset
1,Alameda,"Total: $1 to $9,999 or loss",57449,2.317031953414949,2023 ACS 1 Year
2,Alameda,"Total: $10,000 to $14,999",28134,1.1346999421639399,2023 ACS 1 Year
3,Alameda,"Total: $15,000 to $24,999",55318,2.231084502759111,2023 ACS 1 Year
4,Alameda,"Total: $25,000 to $34,999",64452,2.5994768135476733,2023 ACS 1 Year
5,Alameda,"Total: $35,000 to $49,999",99980,4.032391420258431,2023 ACS 1 Year
6,Alameda,"Total: $50,000 to $64,999",82111,3.311699258940189,2023 ACS 1 Year
7,Alameda,"Total: $65,000 to $74,999",43157,1.740607286698271,2023 ACS 1 Year
8,Alameda,"Total: $75,000 or more",395873,15.96634215555077,2023 ACS 1 Year
9,Alameda,"Total: Car, truck, or van - drove alone:",452339,18.243727772037193,2023 ACS 1 Year
10,Alameda,"Total: Car, truck, or van - drove alone: $1 to $9,999 or loss",26962,1.0874308609022587,2023 ACS 1 Year
11,Alameda,"Total: Car, truck, or van - drove alone: $10,000 to $14,999",15594,0.628936905456191,2023 ACS 1 Year
12,Alameda,"Total: Car, truck, or van - drove alone: $15,000 to $24,999",30622,1.2350459098935154,2023 ACS 1 Year
13,Alameda,"Total: Car, truck, or van - drove alone: $25,000 to $34,999",35985,1.4513463218443652,2023 ACS 1 Year
14,Alameda,"Total: Car, truck, or van - drove alone: $35,000 to $49,999",63753,2.5712847591091794,2023 ACS 1 Year
15,Alameda,"Total: Car, truck, or van - drove alone: $50,000 to $64,999",50314,2.0292632718431958,2023 ACS 1 Year
16,Alameda,"Total: Car, truck, or van - drove alone: $65,000 to $74,999",26353,1.0628686847176478,2023 ACS 1 Year
17,Alameda,"Total: Car, truck, or van - drove alone: $75,000 or more",202756,8.17755105827084,2023 ACS 1 Year
18,Alameda,"Total: Car, truck, or van - carpooled:",75395,3.040829677239292,2023 ACS 1 Year
19,Alameda,"Total: Car, truck, or van - carpooled: $1 to $9,999 or loss",6140,0.24763836087604288,2023 ACS 1 Year
20,Alameda,"Total: Car, truck, or van - carpooled: $10,000 to $14,999",2876,0.11599477620187286,2023 ACS 1 Year
21,Alameda,"Total: Car, truck, or van - carpooled: $15,000 to $24,999",8380,0.33798199741713997,2023 ACS 1 Year
22,Alameda,"Total: Car, truck, or van - carpooled: $25,000 to $34,999",9358,0.3774266744426725,2023 ACS 1 Year
23,Alameda,"Total: Car, truck, or van - carpooled: $35,000 to $49,999",12736,0.5136681049050948,2023 ACS 1 Year
24,Alameda,"Total: Car, truck, or van - carpooled: $50,000 to $64,999",8619,0.34762134078023027,2023 ACS 1 Year
25,Alameda,"Total: Car, truck, or van - carpooled: $65,000 to $74,999",4083,0.16467547678450864,2023 ACS 1 Year
26,Alameda,"Total: Car, truck, or van - carpooled: $75,000 or more",23203,0.9358229458317302,2023 ACS 1 Year
27,Alameda,Total: Public transportation (excluding taxicab):,74554,3.006910481555782,2023 ACS 1 Year
28,Alameda,"Total: Public transportation (excluding taxicab): $1 to $9,999 or loss",5778,0.233038183899312,2023 ACS 1 Year
