,county,grouping,universe,share,dataset
1,Alameda,Total: No vehicle available,66589,3.647509150406277,2023 ACS 1 Year
2,Alameda,Total: 1 vehicle available,209193,11.458850286097407,2023 ACS 1 Year
3,Alameda,Total: 2 vehicles available,208803,11.437487469886646,2023 ACS 1 Year
4,Alameda,Total: 3 vehicles available,78038,4.274644747321705,2023 ACS 1 Year
5,Alameda,Total: 4 or more vehicles available,45911,2.5148416796212976,2023 ACS 1 Year
6,Alameda,Total: 1-person household:,162846,8.920126073481514,2023 ACS 1 Year
7,Alameda,Total: 1-person household: No vehicle available,39939,2.187716709337523,2023 ACS 1 Year
8,Alameda,Total: 1-person household: 1 vehicle available,101436,5.5563041670637965,2023 ACS 1 Year
9,Alameda,Total: 1-person household: 2 vehicles available,16379,0.8971835044001925,2023 ACS 1 Year
10,Alameda,Total: 1-person household: 3 vehicles available,3828,0.20968425757640496,2023 ACS 1 Year
11,Alameda,Total: 1-person household: 4 or more vehicles available,1264,0.0692374351035987,2023 ACS 1 Year
12,Alameda,Total: 2-person household:,191889,10.510998563761433,2023 ACS 1 Year
13,Alameda,Total: 2-person household: No vehicle available,16556,0.9068789363727691,2023 ACS 1 Year
14,Alameda,Total: 2-person household: 1 vehicle available,62424,3.4193652285657,2023 ACS 1 Year
15,Alameda,Total: 2-person household: 2 vehicles available,87734,4.805757224192349,2023 ACS 1 Year
16,Alameda,Total: 2-person household: 3 vehicles available,18917,1.0362061391256145,2023 ACS 1 Year
17,Alameda,Total: 2-person household: 4 or more vehicles available,6258,0.34279103550500056,2023 ACS 1 Year
18,Alameda,Total: 3-person household:,104708,5.735532717426909,2023 ACS 1 Year
19,Alameda,Total: 3-person household: No vehicle available,4274,0.23411455508922535,2023 ACS 1 Year
20,Alameda,Total: 3-person household: 1 vehicle available,25277,1.3845843727165066,2023 ACS 1 Year
21,Alameda,Total: 3-person household: 2 vehicles available,42666,2.3370920934573913,2023 ACS 1 Year
22,Alameda,Total: 3-person household: 3 vehicles available,23140,1.267527095171894,2023 ACS 1 Year
23,Alameda,Total: 3-person household: 4 or more vehicles available,9351,0.512214600991892,2023 ACS 1 Year
24,Alameda,Total: 4-or-more-person household:,149091,8.166675978663477,2023 ACS 1 Year
25,Alameda,Total: 4-or-more-person household: No vehicle available,5820,0.31879894960675986,2023 ACS 1 Year
26,Alameda,Total: 4-or-more-person household: 1 vehicle available,20056,1.0985965177514048,2023 ACS 1 Year
27,Alameda,Total: 4-or-more-person household: 2 vehicles available,62024,3.397454647836714,2023 ACS 1 Year
28,Alameda,Total: 4-or-more-person household: 3 vehicles available,32153,1.7612272554477921,2023 ACS 1 Year
29,Alameda,Total: 4-or-more-person household: 4 or more vehicles available,29038,1.5905986080208063,2023 ACS 1 Year
31,Contra Costa,Total: No vehicle available,20544,1.6454735061464971,2023 ACS 1 Year
32,Contra Costa,Total: 1 vehicle available,122178,9.785857770344954,2023 ACS 1 Year
33,Contra Costa,Total: 2 vehicles available,156754,12.55522556378933,2023 ACS 1 Year
34,Contra Costa,Total: 3 vehicles available,72177,5.7810232307795815,2023 ACS 1 Year
35,Contra Costa,Total: 4 or more vehicles available,44519,3.565753262272971,2023 ACS 1 Year
36,Contra Costa,Total: 1-person household:,91727,7.3468822185698865,2023 ACS 1 Year
37,Contra Costa,Total: 1-person household: No vehicle available,8874,0.7107638188056862,2023 ACS 1 Year
38,Contra Costa,Total: 1-person household: 1 vehicle available,63449,5.0819532949517665,2023 ACS 1 Year
39,Contra Costa,Total: 1-person household: 2 vehicles available,14796,1.1850869352094806,2023 ACS 1 Year
40,Contra Costa,Total: 1-person household: 3 vehicles available,3280,0.26271189155765723,2023 ACS 1 Year
41,Contra Costa,Total: 1-person household: 4 or more vehicles available,1328,0.10636627804529537,2023 ACS 1 Year
42,Contra Costa,Total: 2-person household:,136730,10.95140150386539,2023 ACS 1 Year
43,Contra Costa,Total: 2-person household: No vehicle available,5950,0.47656577889270146,2023 ACS 1 Year
44,Contra Costa,Total: 2-person household: 1 vehicle available,32791,2.626398059776567,2023 ACS 1 Year
45,Contra Costa,Total: 2-person household: 2 vehicles available,68916,5.519833145910826,2023 ACS 1 Year
46,Contra Costa,Total: 2-person household: 3 vehicles available,22205,1.778511448792006,2023 ACS 1 Year
47,Contra Costa,Total: 2-person household: 4 or more vehicles available,6868,0.5500930704932896,2023 ACS 1 Year
48,Contra Costa,Total: 3-person household:,74349,5.954989763847641,2023 ACS 1 Year
49,Contra Costa,Total: 3-person household: No vehicle available,3046,0.2439696407575073,2023 ACS 1 Year
50,Contra Costa,Total: 3-person household: 1 vehicle available,12892,1.0325858859638164,2023 ACS 1 Year
51,Contra Costa,Total: 3-person household: 2 vehicles available,30028,2.405095329174796,2023 ACS 1 Year
52,Contra Costa,Total: 3-person household: 3 vehicles available,18908,1.5144379407232267,2023 ACS 1 Year
53,Contra Costa,Total: 3-person household: 4 or more vehicles available,9475,0.7589009672282934,2023 ACS 1 Year
54,Contra Costa,Total: 4-or-more-person household:,113366,9.08005984705042,2023 ACS 1 Year
55,Contra Costa,Total: 4-or-more-person household: No vehicle available,2674,0.21417426769060227,2023 ACS 1 Year
56,Contra Costa,Total: 4-or-more-person household: 1 vehicle available,13046,1.0449205296528037,2023 ACS 1 Year
57,Contra Costa,Total: 4-or-more-person household: 2 vehicles available,43014,3.4452101534942283,2023 ACS 1 Year
58,Contra Costa,Total: 4-or-more-person household: 3 vehicles available,27784,2.225361949706692,2023 ACS 1 Year
59,Contra Costa,Total: 4-or-more-person household: 4 or more vehicles available,26848,2.1503929465060923,2023 ACS 1 Year
61,Marin,Total: No vehicle available,4136,1.356848542109545,2023 ACS 1 Year
62,Marin,Total: 1 vehicle available,32863,10.78097525129255,2023 ACS 1 Year
63,Marin,Total: 2 vehicles available,43411,14.241332703461671,2023 ACS 1 Year
64,Marin,Total: 3 vehicles available,16097,5.280752171745007,2023 ACS 1 Year
65,Marin,Total: 4 or more vehicles available,5101,1.6734246647245623,2023 ACS 1 Year
66,Marin,Total: 1-person household:,28440,9.329974017793873,2023 ACS 1 Year
67,Marin,Total: 1-person household: No vehicle available,3423,1.1229430753483978,2023 ACS 1 Year
68,Marin,Total: 1-person household: 1 vehicle available,20232,6.637272655696402,2023 ACS 1 Year
69,Marin,Total: 1-person household: 2 vehicles available,4312,1.414586777943994,2023 ACS 1 Year
70,Marin,Total: 1-person household: 3 vehicles available,349,0.11449229719444663,2023 ACS 1 Year
71,Marin,Total: 1-person household: 4 or more vehicles available,124,0.040679211610634335,2023 ACS 1 Year
72,Marin,Total: 2-person household:,36739,12.052528672283023,2023 ACS 1 Year
73,Marin,Total: 2-person household: No vehicle available,292,0.09579298217988086,2023 ACS 1 Year
74,Marin,Total: 2-person household: 1 vehicle available,6559,2.151733459307666,2023 ACS 1 Year
