operator,canonical,alternate_01,alternate_02,alternate_03,alternate_04,alternate_05
Caltrain,Santa Clara,Santa Clara Caltrain,Santa<a0>Clara,,,
Caltrain,South San Francisco,South San Francisco Caltrain,So. San Francisco,,,
Caltrain,Sunnyvale,Sunnyvale Caltrain,,,,
Caltrain,Tamien,Tamien Caltrain,,,,
Capitol Corridor,Berkeley,,,,,
Capitol Corridor,Coliseum,Oakland Coliseum,,,,
Capitol Corridor,Emeryville,,,,,
Capitol Corridor,Fremont,,,,,
Capitol Corridor,Great America,Great America-Santa Clara,,,,
Capitol Corridor,Hayward,,,,,
Capitol Corridor,Jack London Square,Oakland Jack London,,,,
Capitol Corridor,Martinez,,,,,
Capitol Corridor,Richmond,,,,,
Capitol Corridor,San Jose Diridon,,,,,
Capitol Corridor,Santa Clara Uni,University-Santa Clara,,,,
Capitol Corridor,Suisun-Fairfield,,,,,
Golden Gate Transit,Sausilito,,,,,
SF Ferry,Alameda Main,,,,,
SF Ferry,Harbor Bay,,,,,
SF Ferry,Oakland Terminal,,,,,
SF Ferry,South San Francisco,,,,,
SF Ferry,Vallejo Terminal,,,,,
Sonoma-Marin Area Rail Transit,Larkspur,,,,,
VTA,Alder,,,,,
VTA,Alum Rock,,,,,
VTA,Bascom,,,,,
VTA,Blossom Hill,,,,,
VTA,Branham,,,,,
VTA,Capitol,,,,,
VTA,Cottle,,,,,
VTA,Curtner,,,,,
VTA,Great Mall,,,,,
VTA,Hostetter,,,,,
VTA,Milpitas,,,,,
VTA,Moffett Park,,,,,
VTA,Mountain View,,,,,
VTA,Ohlone/Chynoweth,,,,,
VTA,Penitencia Creek,,,,,
VTA,San Jose Diridon,,,,,
VTA,Santa Teresa,,,,,
VTA,Snell,,,,,
VTA,Tamien,,,,,
VTA,Whiseman,,,,,
VTA,Winchester,,,,,
